Comment,Designator,Footprint,LCSC
5K,"R102,R101",0402_R,
22R,"R106,R107",0402_R,
1uF,"C206,C201,C210,C107,C106",0402_C,
WS2812,D101,SMD_5050,
0R,"R209,R207,R223,R203,R201,R217,R213,R202,R113,R220,R218,R208,R112,R214,R110,R109",0402_R,
NCP81155,"U205,U201,U206",DFN-8_3x3mm,C173765
0.1uF,"C101,C212,C218,C211,C109,C111,C110,C108",0402_C,
1N5819WS,"D201,D202,D203",D_SOD-323,C191023
22R,"R215,R216,R221",1206_R,
47pF,"C105,C104",0402_C,
10k,"R219,R108,R103,R222",0402_R,
RESET,SW101,TS-1187A-B-A-B,C318884
LT199,"U204,U203,U202",SOT-363_SC-70-6,C2888104
10uF,"C214,C215",0402_C,
AO3400A,"Q201,Q205,Q203,Q202,Q101,Q206,Q204",SOT-23,C20917
470nF,"C222,C205,C223",0402_C,
5.1k,"R105,R104",0402_R,
20pF,"C102,C103",0402_C,
12MHz,Y101,Crystal_SMD_3225,
HIROSE TYPE C ,J101,HRO_TYPE-C-31-M-12,C165948
100uF,"C221,C220,C213",1206_C,
STM32F103,U103,LQFP-48_7x7mm,C8734
XC6206,U102,SOT-23,C5446
B5819W SL,D204,D_SOD-123,C8598
MT6701,U101,QFN-16-1EP_3x3mm,C2913974
