Designator,Mid X,Mid Y,Layer,Rotation
C101,150.6092,-96.8866,T ,90
C102,167.0684,-85.5836,T ,0
C103,163.2076,-87.0568,T ,90
C104,162.4456,-106.3374,T ,0
C105,160.5406,-106.3374,T ,180
C106,154.1906,-108.3166,T ,180
C107,154.1906,-107.326,T ,180
C108,169.9894,-91.4002,T ,90
C109,160.693,-87.0568,T ,90
C110,160.3374,-101.202,T ,-90
C111,167.3758,-101.1792,T ,180
C201,150.6092,-98.8424,T ,-90
C202,144.3496,-91.5428,T ,180
C203,144.4004,-98.93275,T ,180
C204,144.4746,-106.2592,T ,180
C205,138.4086,-90.984,T ,180
C206,153.706,-102.5308,T ,180
C207,144.3496,-87.682,T ,180
C208,144.3869,-94.99575,T ,180
C209,144.4492,-102.373,T ,180
C210,152.381,-105.5058,T ,-90
C211,152.8374,-93.60275,T ,180
C212,149.9392,-93.59005,T ,180
C213,144.2592,-111.4662,T ,-90
C214,138.4934,-101.357,T ,180
C215,138.4426,-93.9656,T ,180
C216,152.8374,-89.25935,T ,180
C217,149.9418,-89.22125,T ,180
C218,155.7226,-93.6113,T ,180
C219,155.7226,-89.2679,T ,180
C220,146.4944,-87.1058,T ,-90
C221,142.9638,-85.9646,T ,0
C222,138.5468,-105.675,T ,180
C223,138.4706,-98.2582,T ,180
D101,148.3742,-112.951,T ,90
D201,138.4426,-88.818,T ,90
D202,138.468,-96.1078,T ,90
D203,138.5442,-103.4992,T ,90
D204,141.8716,-111.4146,T ,-90
J101,160.8454,-114.1332,T ,0
J102,169.9132,-108.0118,T ,180
J104,137.2234,-108.0238,T ,90
Q101,157.8505,-100.3918,T ,0
Q201,141.386,-92.3744,T ,180
Q202,141.4444,-99.73575,T ,180
Q203,141.4932,-107.0876,T ,180
Q204,141.386,-88.9012,T ,180
Q205,141.4309,-96.23015,T ,180
Q206,141.4932,-103.5922,T ,180
R101,157.9244,-94.626,T ,180
R102,157.9244,-93.61,T ,180
R103,161.7344,-87.0568,T ,90
R104,159.55,-107.834,T ,90
R105,162.6742,-107.834,T ,90
R106,160.5914,-107.832,T ,90
R107,161.6328,-107.836,T ,90
R108,168.567,-86.0408,T ,90
R109,170.8022,-96.8104,T ,180
R110,170.8022,-95.7944,T ,0
R112,157.9244,-98.1058,T ,0
R113,157.9244,-97.0898,T ,0
R201,144.3496,-93.6002,T ,180
R202,144.4004,-100.96575,T ,180
R203,144.4746,-108.3176,T ,180
R204,144.3496,-92.5588,T ,180
R205,144.4004,-99.94875,T ,180
R206,144.4746,-107.2752,T ,180
R207,144.3496,-89.7394,T ,180
R208,144.3869,-97.02775,T ,180
R209,144.4746,-104.4558,T ,180
R210,144.3496,-88.698,T ,180
R211,144.3869,-96.01175,T ,180
R212,144.4746,-103.389,T ,180
R213,153.2692,-87.76075,T ,-90
R214,150.3736,-87.72065,T ,-90
R215,152.7682,-84.3644,T ,-45
R216,149.4408,-84.3136,T ,-45
R217,152.2532,-87.75875,T ,-90
R218,149.3322,-87.72465,T ,-90
R219,149.9692,-94.63145,T ,180
R220,156.1544,-87.7693,T ,-90
R221,156.0448,-84.3644,T ,-45
R222,148.4686,-94.04725,T ,90
R223,155.113,-87.7713,T ,-90
SW101,162.3186,-83.4246,T ,180
U101,153.581,-98.1058,T ,90
U102,157.0862,-107.0618,T ,180
U103,164.2713,-95.3826,T ,-90
U201,148.247,-98.309,T ,90
U202,152.3468,-91.42725,T ,90
U203,149.4512,-91.41455,T ,90
U204,155.232,-91.4358,T ,90
U205,149.7202,-103.1096,T ,180
U206,149.7202,-107.2244,T ,180
Y101,165.8746,-87.8442,T ,180
